user_id,region,country,subscription_plan,months_subscribed,usage_frequency,feature_adoption,failed_payments,support_tickets,last_active_days_ago,prompt_volume,api_or_app,renewal_behavior
NMC000001,Africa,Egypt,Free,24,12,4,0,0,11,165,App,Downgraded
NMC000002,Europe,Spain,Business,17,18,6,0,1,6,3981,API,Renewed
NMC000003,North America,United States,Pro,19,22,8,0,1,2,1734,App,Renewed
NMC000004,North America,Canada,Free,21,9,6,0,1,20,267,App,Skipped
NMC000005,Africa,Nigeria,Pro,28,19,6,0,1,10,1299,App,Downgraded
NMC000006,Europe,United Kingdom,Business,34,21,10,0,3,2,3284,API,Renewed
NMC000007,Europe,France,Pro,24,26,5,0,0,2,2125,API,Renewed
NMC000008,North America,Canada,Business,7,23,10,1,4,2,3260,App,Renewed
NMC000009,North America,Canada,Business,41,30,10,0,3,2,9105,API,Renewed
NMC000010,North America,Canada,Pro,43,23,5,0,2,6,1182,API,Renewed
NMC000011,Europe,United Kingdom,Business,12,24,10,0,3,6,3227,API,Renewed
NMC000012,Latin America,Argentina,Pro,16,16,10,2,1,25,683,API,Renewed
NMC000013,North America,Canada,Pro,11,22,6,0,2,3,1086,API,Renewed
NMC000014,Europe,France,Pro,15,22,7,0,0,1,1803,API,Skipped
NMC000015,Asia,India,Pro,10,17,8,0,0,14,1815,App,Downgraded
NMC000016,Europe,Germany,Pro,13,22,8,2,0,2,1701,App,Renewed
NMC000017,Africa,Senegal,Free,3,7,5,0,0,5,181,App,Skipped
NMC000018,Asia,Singapore,Free,4,4,4,0,1,39,116,App,Downgraded
NMC000019,Asia,Singapore,Pro,26,21,9,0,3,5,1162,App,Renewed
NMC000020,North America,Mexico,Free,17,0,4,0,2,32,115,App,Renewed
NMC000021,North America,Canada,Pro,19,18,6,1,1,26,1054,API,Downgraded
NMC000022,North America,Canada,Free,14,8,5,0,2,10,226,App,Skipped
NMC000023,Europe,Spain,Free,13,8,6,0,1,13,160,App,Renewed
NMC000024,Europe,France,Pro,18,26,8,1,2,2,3265,API,Renewed
NMC000025,North America,Canada,Pro,13,24,8,1,0,4,1382,App,Renewed
NMC000026,Africa,Ghana,Free,9,11,2,0,0,8,107,App,Renewed
NMC000027,Africa,Ghana,Free,15,10,2,0,0,2,167,App,Skipped
NMC000028,Africa,Nigeria,Business,28,30,10,0,4,2,7836,API,Downgraded
NMC000029,North America,Canada,Pro,20,22,4,0,4,5,1135,App,Renewed
NMC000030,Africa,Rwanda,Pro,24,25,6,1,1,2,1181,App,Downgraded
NMC000031,Europe,Italy,Business,28,23,10,0,1,6,5784,API,Renewed
NMC000032,North America,United States,Free,2,7,6,0,1,22,202,App,Downgraded
NMC000033,Europe,Spain,Free,3,9,5,0,1,17,193,API,Renewed
NMC000034,Africa,Rwanda,Pro,23,17,10,1,1,8,1528,App,Renewed
NMC000035,Africa,South Africa,Free,4,3,4,0,1,1,153,App,Downgraded
NMC000036,Europe,United Kingdom,Pro,4,17,7,0,1,6,1515,App,Downgraded
NMC000037,Europe,Spain,Pro,43,23,8,0,1,7,1399,App,Renewed
NMC000038,North America,United States,Business,14,17,7,0,4,12,2947,App,Renewed
NMC000039,Europe,France,Free,1,8,5,0,0,32,81,App,Renewed
NMC000040,Asia,Philippines,Free,8,11,4,0,0,10,67,App,Renewed
NMC000041,Africa,Rwanda,Pro,18,20,6,0,1,11,1636,App,Renewed
NMC000042,Latin America,Brazil,Pro,18,26,8,1,1,2,1467,App,Renewed
NMC000043,Africa,Nigeria,Business,16,15,7,0,1,29,1776,App,Skipped
NMC000044,North America,United States,Pro,5,18,7,0,1,10,1046,App,Renewed
NMC000045,Africa,Uganda,Business,8,17,6,0,2,4,2259,App,Renewed
NMC000046,Africa,Ghana,Pro,4,17,5,1,2,8,1200,API,Renewed
NMC000047,Europe,Spain,Pro,3,15,9,0,0,3,762,App,Downgraded
NMC000048,Africa,South Africa,Free,19,8,2,0,0,21,127,App,Skipped
NMC000049,Asia,Philippines,Pro,29,12,7,0,1,5,865,App,Renewed
NMC000050,Africa,Nigeria,Pro,31,19,7,0,1,9,1455,App,Downgraded
NMC000051,North America,United States,Free,6,8,3,0,1,6,211,App,Downgraded
NMC000052,Africa,Morocco,Free,2,8,2,0,3,12,154,App,Downgraded
NMC000053,Africa,Botswana,Business,43,16,8,1,2,6,4022,API,Renewed
NMC000054,North America,United States,Pro,21,22,8,1,2,4,1850,API,Renewed
NMC000055,North America,Mexico,Free,30,13,7,0,2,23,143,App,Downgraded
NMC000056,North America,Canada,Free,10,6,4,0,2,23,199,API,Renewed
NMC000057,Europe,Sweden,Pro,14,19,6,0,2,11,1928,API,Skipped
NMC000058,Africa,Nigeria,Free,9,15,6,0,2,7,175,App,Skipped
NMC000059,North America,Canada,Pro,12,17,10,0,0,8,1767,API,Renewed
NMC000060,Europe,France,Pro,17,27,5,0,0,5,1430,API,Renewed
NMC000061,Africa,Uganda,Business,32,19,6,0,3,11,4165,API,Renewed
NMC000062,North America,Canada,Free,2,15,4,0,1,7,306,App,Skipped
NMC000063,North America,United States,Business,28,29,9,0,2,1,3289,App,Renewed
NMC000064,Europe,Sweden,Pro,40,18,10,0,5,16,2545,API,Renewed
NMC000065,Asia,Philippines,Pro,26,21,7,0,1,3,1383,App,Renewed
NMC000066,Africa,Kenya,Free,15,2,6,0,1,80,85,App,Downgraded
NMC000067,Latin America,Brazil,Business,9,28,6,0,2,0,5138,API,Renewed
NMC000068,Africa,Botswana,Pro,10,27,6,1,0,1,1617,App,Skipped
NMC000069,Africa,Ghana,Pro,14,20,5,1,3,8,1849,App,Downgraded
NMC000070,Asia,Singapore,Pro,16,25,10,0,3,1,3049,API,Renewed
NMC000071,North America,Mexico,Free,16,8,5,0,1,34,164,App,Skipped
NMC000072,Europe,Germany,Business,48,22,8,0,2,1,5693,API,Renewed
NMC000073,Asia,Singapore,Pro,4,24,6,0,1,3,1357,API,Renewed
NMC000074,Europe,Italy,Free,4,8,5,0,0,7,176,App,Skipped
NMC000075,Asia,United Arab Emirates,Pro,4,17,8,0,1,3,1690,API,Renewed
NMC000076,North America,Mexico,Free,8,14,4,0,3,10,102,App,Skipped
NMC000077,Europe,Spain,Pro,10,16,8,0,1,11,952,App,Renewed
NMC000078,North America,United States,Free,13,10,6,0,2,16,273,App,Skipped
NMC000079,Europe,Spain,Free,8,9,3,0,3,7,156,App,Skipped
NMC000080,Asia,United Arab Emirates,Business,24,24,7,1,1,2,3476,App,Renewed
NMC000081,North America,United States,Business,20,30,10,1,2,2,5415,API,Renewed
NMC000082,Africa,Nigeria,Pro,14,17,8,1,0,24,759,API,Renewed
NMC000083,Africa,Ghana,Free,8,6,9,0,2,27,311,App,Skipped
